trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.7, 'e': 0.5827482523739896}",20,0,-7.189977649385612,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.5655254386995371}",20,0,-71.5104340023434,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.5488116360940265}",25,0,-2.7613790969222562,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.5325918010068972}",30,5,-104.669305499352,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",1
22,False,"{'a': 0.7, 'e': 0.5168513344916993}",20,0,-14.22277425753392,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.5015760690660556}",25,0,-56.402306022791116,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.4867522559599717}",20,0,-58.65203698269028,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.4723665527410147}",20,0,-86.1662195443229,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.4584060113052235}",20,1,-28.89631024449814,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.44485806622294116}",20,0,-107.51480442755062,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.7, 'e': 0.43171052342907973}",25,12,-4.001245356147397,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.418951549247639}",20,6,-18.469060079369033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.7, 'e': 0.40656965974059917}",25,16,9.099326758989609,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.39455371037160114}",25,12,-0.49969754842219927,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.38289288597511206}",25,18,-3.5969560634216724,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.3715766910220457}",25,17,4.054843783126639,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.3605949401730783}",20,0,-23.119177228085984,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,3,-8.846469895124974,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.3395955256449391}",30,22,1.0069672129101772,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.3295589610751891}",25,8,-18.679976435429857,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.31981902181630395}",20,0,18.53785957577481,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.31036694126548503}",20,8,-3.117225103902042,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.30119421191220214}",25,0,-50.5892697175318,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.2922925776808594}",25,12,-4.524506560097842,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.2836540264997704}",20,12,-6.0462502257717325,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.27527078308975234}",20,12,14.64912387220881,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.2671353019658504}",20,14,8.397058119445365,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.25924026064589156}",20,0,-40.82094479511389,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.2515785530597565}",25,1,18.067398346328268,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.2441432831534371}",30,19,17.192533086068455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.23692775868212176}",20,4,-9.647358680136634,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.22992548518672384}",20,12,-7.414523953299043,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,0,-11.873696999390773,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.21653566731600707}",30,0,17.656000376752242,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.21013607120076472}",20,16,6.904778103803395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.20392561173421347}",20,8,15.681265585323594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.1978986990836147}",20,0,8.462179962966596,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.19204990862075413}",25,14,6.8170355438332,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.18637397603940997}",20,2,29.231934037554048,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.1808657926171221}",20,9,15.481866551407604,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.17552040061699686}",25,17,5.085226560782841,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.17033298882540943}",20,7,11.383277146192453,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.16529888822158656}",25,0,-15.873772460445574,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.1604135677751728}",25,18,-0.5097107191618209,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.15567263036799733}",20,8,14.313499753133362,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.15107180883637086}",20,14,10.25183056988137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.14660696213035015}",20,10,-31.885714448920996,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.7, 'e': 0.1422740715865136}",20,7,11.602154321208092,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.13806923731089282}",30,18,14.51748316040743,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.13398867466880499}",25,0,10.869009509936918,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
